MARKER_NAMES,Gimbal1 - 1,Gimbal1 - 2,Gimbal1 - 3,Gimbal1 - 4,M2 - 1,M2 - 2,M2 - 3,M2 - 4,M2 - 5,M2 - 6,M2 - 7,M2 - 8,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Time,Gimbal1 - 1 X,Gimbal1 - 1 Y,Gimbal1 - 1 Z,Gimbal1 - 2 X,Gimbal1 - 2 Y,Gimbal1 - 2 Z,Gimbal1 - 3 X,Gimbal1 - 3 Y,Gimbal1 - 3 Z,Gimbal1 - 4 X,Gimbal1 - 4 Y,Gimbal1 - 4 Z,M2 - 1 X,M2 - 1 Y,M2 - 1 Z,M2 - 2 X,M2 - 2 Y,M2 - 2 Z,M2 - 3 X,M2 - 3 Y,M2 - 3 Z,M2 - 4 X,M2 - 4 Y,M2 - 4 Z,M2 - 5 X,M2 - 5 Y,M2 - 5 Z,M2 - 6 X,M2 - 6 Y,M2 - 6 Z,M2 - 7 X,M2 - 7 Y,M2 - 7 Z,M2 - 8 X,M2 - 8 Y,M2 - 8 Z
45,0.36667,262.157,177.954,132.031,255.114,192.934,210.833,256.893,185.561,171.311,223.668,193.431,208.667,242.313,87.459,15.032,241.856,169.742,16.032,204.483,181.658,15.231,176.476,157.187,94.737,264.236,40.41,15.762,136.923,110.058,14.314,273.196,25.048,-28.049,108.229,225.966,12.409
46,0.375,262.157,177.952,132.017,254.847,192.826,210.535,256.872,185.531,171.275,223.701,193.468,208.636,242.306,87.446,15.013,241.853,169.76,16.024,204.485,181.658,15.235,176.487,157.16,94.731,264.278,40.473,15.675,136.899,110.049,14.307,273.235,25.098,-28.106,108.212,225.951,12.37
47,0.38333,262.143,177.948,132.048,254.823,192.836,210.519,256.894,185.568,171.303,223.691,193.489,208.708,242.292,87.432,15.052,241.83,169.75,16.007,204.492,181.656,15.212,176.477,157.177,94.748,264.272,40.452,15.742,136.913,110.069,14.297,273.199,25.06,-28.082,108.223,225.972,12.377
48,0.39167,262.143,177.964,132.029,255.095,192.931,210.845,256.856,185.578,171.296,223.682,193.454,208.612,242.295,87.46,15.036,241.843,169.75,16.008,204.479,181.658,15.225,176.489,157.149,94.705,264.235,40.402,15.752,136.91,110.052,14.305,273.225,25.061,-28.073,108.227,225.981,12.395
49,0.4,262.135,177.96,132.045,254.84,192.839,210.535,256.881,185.558,171.304,223.687,193.449,208.712,242.302,87.458,15.016,241.846,169.745,16.02,204.486,181.681,15.225,176.49,157.155,94.688,264.243,40.426,15.643,136.918,110.065,14.275,273.235,25.098,-28.106,108.229,225.968,12.379
50,0.40833,262.143,177.964,132.012,254.841,192.838,210.538,256.87,185.549,171.295,223.68,193.468,208.756,242.308,87.448,15.03,241.849,169.754,16.052,204.482,181.666,15.229,176.51,157.167,94.731,264.235,40.403,15.753,136.899,110.061,14.317,273.226,25.071,-28.062,108.226,225.964,12.367
51,0.41667,262.149,177.957,132.039,254.826,192.844,210.51,256.884,185.54,171.305,223.688,193.487,208.617,242.307,87.455,15.015,241.832,169.756,16.047,204.478,181.647,15.197,176.475,157.191,94.715,264.245,40.432,15.711,136.922,110.058,14.317,273.239,25.111,-28.138,108.224,225.974,12.377
52,0.425,262.142,177.958,132.034,254.826,192.842,210.51,256.86,185.551,171.293,223.687,193.499,208.757,242.315,87.472,15.024,241.83,169.78,16.033,204.464,181.653,15.239,176.468,157.154,94.719,264.264,40.416,15.731,136.929,110.059,14.278,273.239,25.111,-28.138,108.227,225.982,12.396
53,0.43333,262.171,177.962,132.009,254.848,192.832,210.524,256.882,185.561,171.286,223.683,193.431,208.725,242.312,87.456,15.019,241.844,169.751,16.025,204.483,181.688,15.231,176.492,157.176,94.749,264.234,40.394,15.743,136.908,110.074,14.307,273.239,25.111,-28.139,108.276,226.013,12.435
54,0.44167,262.28,178.276,131.988,254.831,192.834,210.524,256.864,185.579,171.376,223.668,193.463,208.668,242.291,87.451,15.033,241.82,169.777,16.001,204.464,181.661,15.206,176.467,157.185,94.738,264.246,40.442,15.722,136.902,110.082,14.308,273.235,25.098,-28.106,108.439,226.138,12.786
55,0.45,262.153,177.971,132.018,254.833,192.855,210.519,256.867,185.538,171.291,223.648,193.427,208.659,242.292,87.471,15.069,241.829,169.768,16.026,204.491,181.665,15.213,176.498,157.189,94.747,264.245,40.44,15.721,136.903,110.065,14.302,273.239,25.111,-28.138,108.313,225.996,12.461
56,0.45833,262.151,177.97,132.019,254.839,192.829,210.512,256.879,185.565,171.317,223.706,193.439,208.682,242.301,87.464,15.035,241.839,169.755,16.051,204.462,181.673,15.23,176.475,157.17,94.715,264.273,40.444,15.688,136.886,110.058,14.321,273.237,25.108,-28.095,109.381,226.928,13.81
57,0.46667,262.143,177.974,132.03,254.852,192.826,210.5,256.86,185.591,171.39,223.673,193.412,208.698,242.311,87.46,15.007,241.839,169.749,16.041,204.466,181.669,15.247,176.478,157.183,94.722,264.263,40.414,15.728,136.902,110.075,14.329,273.251,25.159,-28.16,107.071,224.8,10.648
58,0.475,262.157,177.959,132.013,254.859,192.839,210.514,256.885,185.578,171.371,223.672,193.436,208.698,242.301,87.458,15.014,241.829,169.748,16.018,204.485,181.658,15.201,176.455,157.155,94.702,264.244,40.432,15.711,136.911,110.064,14.312,273.279,25.162,-28.194,107.893,225.672,11.662
59,0.48333,262.166,177.964,131.991,254.836,192.821,210.501,256.878,185.555,171.311,223.692,193.42,208.698,242.298,87.462,15.017,241.832,169.736,16.023,204.48,181.658,15.23,176.473,157.163,94.705,264.274,40.454,15.699,136.914,110.073,14.315,273.241,25.122,-28.127,108.479,226.414,12.01
60,0.49167,262.27,178.262,131.985,254.842,192.829,210.512,256.889,185.57,171.289,223.698,193.462,208.718,242.304,87.468,15.042,241.851,169.74,16.04,204.457,181.666,15.258,176.499,157.175,94.746,264.246,40.441,15.721,136.902,110.083,14.319,273.206,25.085,-28.083,108.34,226.024,11.432
61,0.5,262.152,177.948,132.046,254.84,192.835,210.504,256.868,185.543,171.28,223.662,193.431,208.695,242.286,87.467,15.045,241.845,169.762,16.03,204.467,181.658,15.223,176.467,157.17,94.717,264.245,40.44,15.72,136.895,110.045,14.323,273.268,25.125,-28.161,107.553,224.427,14.101
62,0.50833,262.168,177.971,132.032,254.819,192.83,210.491,256.875,185.563,171.28,223.676,193.429,208.691,242.301,87.462,15.037,241.847,169.756,16.041,204.485,181.665,15.203,176.466,157.183,94.725,264.243,40.437,15.762,136.912,110.057,14.307,273.239,25.111,-28.138,107.861,225.264,13.316
63,0.51667,262.159,177.98,132.025,254.843,192.828,210.533,256.873,185.547,171.29,223.668,193.433,208.748,242.285,87.457,15.002,241.825,169.756,15.985,204.464,181.679,15.247,176.495,157.174,94.728,264.245,40.438,15.718,136.913,110.059,14.302,273.251,25.158,-28.16,108.135,225.823,12.592
64,0.525,262.156,177.967,132.028,254.832,192.85,210.517,256.854,185.606,171.332,223.677,193.464,208.73,242.302,87.454,15.02,241.834,169.767,16.052,204.492,181.671,15.255,176.478,157.157,94.733,264.244,40.429,15.708,136.907,110.052,14.283,273.274,25.166,-28.117,108.225,225.966,12.391
65,0.53333,262.147,177.962,132.028,254.847,192.844,210.521,256.85,185.558,171.281,223.668,193.443,208.675,242.292,87.487,15.017,241.843,169.756,16.031,204.469,181.668,15.235,176.478,157.157,94.695,264.274,40.451,15.696,136.913,110.08,14.324,273.239,25.111,-28.138,108.235,225.981,12.389
66,0.54167,262.161,177.976,132.016,254.821,192.83,210.522,256.858,185.541,171.35,223.689,193.449,208.676,242.303,87.469,15.039,241.818,169.774,15.975,204.474,181.664,15.231,176.51,157.175,94.741,264.231,40.389,15.783,136.897,110.062,14.313,273.237,25.108,-28.095,108.211,225.988,12.372
67,0.55,262.149,177.965,132.025,255.093,192.947,210.826,256.886,185.545,171.29,223.702,193.472,208.623,242.31,87.468,15.028,241.855,169.75,16.006,204.459,181.666,15.231,176.458,157.17,94.681,264.245,40.438,15.718,136.882,110.057,14.335,273.238,25.119,-28.083,108.225,225.973,12.358
68,0.55833,262.146,177.979,132.012,254.83,192.816,210.504,256.876,185.557,171.293,223.697,193.466,208.696,242.304,87.459,15.034,241.839,169.751,16.022,204.494,181.695,15.213,176.483,157.198,94.739,264.234,40.4,15.75,136.92,110.05,14.307,273.204,25.074,-28.094,108.231,225.98,12.379
